Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2015,YEAR,,COUNTY,WASHINGTON,53,CENTRAL,20,OTHER (COMBINED) COUNTIES,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,674,
SURVEY,2014,YEAR,,COUNTY,WASHINGTON,53,EAST CENTRAL,50,GRANT,25,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,646,
SURVEY,2014,YEAR,,COUNTY,WASHINGTON,53,EAST CENTRAL,50,OTHER (COMBINED) COUNTIES,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,589,
SURVEY,2013,YEAR,,COUNTY,WASHINGTON,53,CENTRAL,20,OTHER (COMBINED) COUNTIES,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,691,
SURVEY,2013,YEAR,,COUNTY,WASHINGTON,53,EAST CENTRAL,50,OTHER (COMBINED) COUNTIES,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,601,
SURVEY,2012,YEAR,,COUNTY,WASHINGTON,53,EAST CENTRAL,50,GRANT,25,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,612,
SURVEY,2012,YEAR,,COUNTY,WASHINGTON,53,EAST CENTRAL,50,OTHER (COMBINED) COUNTIES,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,573,
SURVEY,2012,YEAR,,COUNTY,WASHINGTON,53,WESTERN,10,OTHER (COMBINED) COUNTIES,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,367,
SURVEY,2011,YEAR,,COUNTY,WASHINGTON,53,EAST CENTRAL,50,GRANT,25,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,580,
SURVEY,2011,YEAR,,COUNTY,WASHINGTON,53,EAST CENTRAL,50,OTHER (COMBINED) COUNTIES,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,615,
SURVEY,2011,YEAR,,COUNTY,WASHINGTON,53,WESTERN,10,OTHER (COMBINED) COUNTIES,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,365,
SURVEY,2011,YEAR,,COUNTY,WASHINGTON,53,WESTERN,10,SKAGIT,57,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,352,
SURVEY,2010,YEAR,,COUNTY,WASHINGTON,53,EAST CENTRAL,50,FRANKLIN,21,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,712,
SURVEY,2010,YEAR,,COUNTY,WASHINGTON,53,EAST CENTRAL,50,GRANT,25,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,690,
